Çeşit Adı	Boy (cm)	Çap (cm)	Ağırlık (gr)
discrete	continuous	continuous	continuous
			
Yeşil Erik	1.9	1.9	13.6
Yeşil Erik	4.2	4.2	16.6
Yeşil Erik	3.7	3.7	13.5
Yeşil Erik	3.2	3.2	17.0
Yeşil Erik	4.2	4.2	16.9
Yeşil Erik	1.6	1.6	11.7
Yeşil Erik	2.6	2.6	12.5
Yeşil Erik	2.0	2.0	13.3
Yeşil Erik	3.2	3.2	15.4
Yeşil Erik	4.2	4.2	12.6
Yeşil Erik	4.3	4.3	11.7
Yeşil Erik	3.7	3.7	13.2
Yeşil Erik	4.4	4.4	12.0
Yeşil Erik	1.9	1.9	16.9
Yeşil Erik	2.2	2.2	17.9
Yeşil Erik	3.3	3.3	16.7
Yeşil Erik	2.2	2.2	15.7
Yeşil Erik	2.3	2.3	11.9
Yeşil Erik	3.5	3.5	16.3
Yeşil Erik	3.4	3.4	11.0
Yeşil Erik	3.1	3.1	12.9
Yeşil Erik	2.3	2.3	15.7
Yeşil Erik	2.7	2.7	14.0
Yeşil Erik	2.7	2.7	11.4
Yeşil Erik	1.8	1.8	15.9
Yeşil Erik	2.2	2.2	13.3
Yeşil Erik	3.9	3.9	16.2
Yeşil Erik	3.9	3.9	14.2
Yeşil Erik	2.6	2.6	13.1
Yeşil Erik	1.8	1.8	13.4
Yeşil Erik	3.4	3.4	12.8
Yeşil Erik	2.7	2.7	11.7
Yeşil Erik	1.7	1.7	11.1
Yeşil Erik	2.3	2.3	17.4
Yeşil Erik	3.6	3.6	12.7
Yeşil Erik	4.4	4.4	15.1
Yeşil Erik	1.9	1.9	16.5
Yeşil Erik	1.6	1.6	14.7
Yeşil Erik	3.7	3.7	11.7
Yeşil Erik	3.7	3.7	13.6
Yeşil Erik	4.4	4.4	14.3
Yeşil Erik	4.1	4.1	16.0
Yeşil Erik	4.1	4.1	11.5
Yeşil Erik	1.8	1.8	11.1
Yeşil Erik	4.2	4.2	13.3
Yeşil Erik	3.8	3.8	14.9
Yeşil Erik	3.4	3.4	15.2
Yeşil Erik	4.0	4.0	14.1
Yeşil Erik	3.6	3.6	16.6
Yeşil Erik	1.7	1.7	11.1
Yeşil Erik	2.7	2.7	16.9
Yeşil Erik	1.7	1.7	16.6
Yeşil Erik	3.0	3.0	15.2
Yeşil Erik	2.3	2.3	14.9
Yeşil Erik	4.3	4.3	13.2
Yeşil Erik	2.7	2.7	12.6
Yeşil Erik	1.6	1.6	14.9
Yeşil Erik	3.1	3.1	15.0
Yeşil Erik	2.3	2.3	14.3
Yeşil Erik	1.7	1.7	12.9
Yeşil Erik	2.4	2.4	16.7
Yeşil Erik	2.8	2.8	15.2
Yeşil Erik	2.8	2.8	17.8
Yeşil Erik	2.8	2.8	14.3
Yeşil Erik	2.1	2.1	12.2
Yeşil Erik	2.4	2.4	14.7
Yeşil Erik	3.7	3.7	17.5
Yeşil Erik	2.3	2.3	16.5
Yeşil Erik	3.0	3.0	11.1
Yeşil Erik	3.5	3.5	16.3
Yeşil Erik	3.0	3.0	15.5
Yeşil Erik	1.7	1.7	12.4
Yeşil Erik	3.9	3.9	13.1
Malta Eriği	3.4	3.4	19.7
Malta Eriği	5.5	5.5	15.6
Malta Eriği	3.4	3.4	14.1
Malta Eriği	4.9	4.9	16.3
Malta Eriği	3.8	3.8	18.1
Malta Eriği	5.3	5.3	16.9
Malta Eriği	3.8	3.8	14.9
Malta Eriği	5.0	5.0	20.0
Malta Eriği	6.2	6.2	19.0
Malta Eriği	3.6	3.6	18.8
Malta Eriği	3.6	3.6	20.1
Malta Eriği	5.1	5.1	15.4
Malta Eriği	6.1	6.1	14.9
Malta Eriği	4.1	4.1	15.3
Malta Eriği	6.3	6.3	18.1
Malta Eriği	4.4	4.4	17.5
Malta Eriği	4.9	4.9	16.4
Malta Eriği	3.2	3.2	14.8
Malta Eriği	6.0	6.0	16.9
Malta Eriği	5.1	5.1	18.0
Malta Eriği	5.3	5.3	16.7
Malta Eriği	4.3	4.3	16.1
Malta Eriği	3.7	3.7	17.9
Malta Eriği	3.2	3.2	15.3
Malta Eriği	3.9	3.9	18.0
Malta Eriği	6.4	6.4	17.7
Malta Eriği	6.3	6.3	18.6
Malta Eriği	6.2	6.2	20.3
Malta Eriği	4.3	4.3	15.7
Malta Eriği	5.5	5.5	16.7
Malta Eriği	4.2	4.2	16.4
Malta Eriği	3.7	3.7	17.3
Malta Eriği	4.2	4.2	18.0
Malta Eriği	3.1	3.1	18.6
Malta Eriği	6.3	6.3	16.1
